"filename", "language", "Markdown", "HTML", "Python", "pip requirements", "JSON", "comment", "blank", "total"
"/home/regnier453/projects/ethos/README.md", "Markdown", 21, 0, 0, 0, 0, 0, 4, 25
"/home/regnier453/projects/ethos/backend/app/__init__.py", "Python", 0, 0, 12, 0, 0, 1, 7, 20
"/home/regnier453/projects/ethos/backend/app/config.py", "Python", 0, 0, 3, 0, 0, 0, 1, 4
"/home/regnier453/projects/ethos/backend/app/core/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/regnier453/projects/ethos/backend/app/crud/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/regnier453/projects/ethos/backend/app/db/__init__.py", "Python", 0, 0, 20, 0, 0, 6, 7, 33
"/home/regnier453/projects/ethos/backend/app/external_services/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/regnier453/projects/ethos/backend/app/main.py", "Python", 0, 0, 2, 0, 0, 0, 1, 3
"/home/regnier453/projects/ethos/backend/app/models/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/regnier453/projects/ethos/backend/app/models/invoice.py", "Python", 0, 0, 59, 0, 0, 4, 10, 73
"/home/regnier453/projects/ethos/backend/app/models/resource_item.py", "Python", 0, 0, 61, 0, 0, 6, 15, 82
"/home/regnier453/projects/ethos/backend/app/models/school.py", "Python", 0, 0, 44, 0, 0, 2, 11, 57
"/home/regnier453/projects/ethos/backend/app/models/subscription.py", "Python", 0, 0, 34, 0, 0, 3, 8, 45
"/home/regnier453/projects/ethos/backend/app/models/transaction.py", "Python", 0, 0, 31, 0, 0, 3, 6, 40
"/home/regnier453/projects/ethos/backend/app/models/trust.py", "Python", 0, 0, 38, 0, 0, 2, 7, 47
"/home/regnier453/projects/ethos/backend/app/models/user.py", "Python", 0, 0, 62, 0, 0, 5, 14, 81
"/home/regnier453/projects/ethos/backend/app/routers/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/regnier453/projects/ethos/backend/app/routers/homepage.py", "Python", 0, 0, 9, 0, 0, 4, 2, 15
"/home/regnier453/projects/ethos/backend/app/schemas/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/regnier453/projects/ethos/backend/app/schemas/auth.py", "Python", 0, 0, 12, 0, 0, 2, 3, 17
"/home/regnier453/projects/ethos/backend/app/schemas/resource.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/regnier453/projects/ethos/backend/app/schemas/school.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/regnier453/projects/ethos/backend/app/schemas/user.py", "Python", 0, 0, 12, 0, 0, 2, 3, 17
"/home/regnier453/projects/ethos/backend/app/utils/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"/home/regnier453/projects/ethos/backend/create_db.py", "Python", 0, 0, 8, 0, 0, 0, 3, 11
"/home/regnier453/projects/ethos/backend/requirements.txt", "pip requirements", 0, 0, 0, 81, 0, 0, 1, 82
"/home/regnier453/projects/ethos/docs/.VSCodeCounter/2025-07-07_21-08-16/details.md", "Markdown", 30, 0, 0, 0, 0, 0, 6, 36
"/home/regnier453/projects/ethos/docs/.VSCodeCounter/2025-07-07_21-08-16/diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 6, 15
"/home/regnier453/projects/ethos/docs/.VSCodeCounter/2025-07-07_21-08-16/diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 7, 19
"/home/regnier453/projects/ethos/docs/.VSCodeCounter/2025-07-07_21-08-16/results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"/home/regnier453/projects/ethos/docs/.VSCodeCounter/2025-07-07_21-08-16/results.md", "Markdown", 30, 0, 0, 0, 0, 0, 7, 37
"/home/regnier453/projects/ethos/docs/roles.md", "Markdown", 59, 0, 0, 0, 0, 0, 9, 68
"/home/regnier453/projects/ethos/frontend/index.html", "HTML", 0, 14, 0, 0, 0, 0, 2, 16
"Total", "-", 161, 14, 407, 81, 1, 40, 149, 853
